table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs,subset
robust_drop_top5pct_follower,play,exposure,text_z,文字覆盖强度,0.9932699063046779,-0.006752842902879405,0.07040473586004117,-0.09591461171452303,0.923588389615414,,-0.673009369532207,3158,drop_top5pct_follower
robust_drop_top5pct_follower,play,exposure,suspense_z,视觉悬念,1.0726641007478852,0.07014536780588818,0.027789213929600775,2.524194026631681,0.011596390473587834,*,7.266410074788521,3158,drop_top5pct_follower
robust_drop_top5pct_follower,play,exposure,info_gap_z,信息缺口,0.9437219194874902,-0.057923733047008055,0.051054336250274814,-1.1345507022764647,0.25656361845548437,,-5.627808051250982,3158,drop_top5pct_follower
robust_drop_top5pct_follower,play,exposure,rep_z,图文代表性,0.8592603334360632,-0.1516833372132899,0.05440788505440944,-2.7878925464866393,0.005305213731065703,**,-14.073966656393678,3158,drop_top5pct_follower
robust_drop_top5pct_follower,play,exposure,auth_z,权威线索,0.7455150769905088,-0.2936799209838465,0.06092303919540584,-4.820506738705062,1.431940194202681e-06,***,-25.44849230094912,3158,drop_top5pct_follower
robust_drop_top5pct_follower,play,exposure,clip_sim_z,CLIP图文相似度,0.9052870133109522,-0.09950324378097751,0.05958891626537968,-1.6698280488579298,0.09495338918620479,+,-9.471298668904781,3158,drop_top5pct_follower
robust_drop_top5pct_follower,like,low_cost,emotion_z,情感强度,1.135202061153049,0.1268106625359807,0.05904330149722434,2.1477569736160866,0.031733066708135915,*,13.52020611530489,3158,drop_top5pct_follower
robust_drop_top5pct_follower,like,low_cost,fear_z,恐惧诉求,0.9507509298626797,-0.05050315414355505,0.06064069537905325,-0.832826105107628,0.4049428096862925,,-4.924907013732027,3158,drop_top5pct_follower
robust_drop_top5pct_follower,like,low_cost,text_z,文字覆盖强度,0.9560661246036523,-0.04492820032727912,0.0823391582053857,-0.5456480404525246,0.5853078949192672,,-4.393387539634775,3158,drop_top5pct_follower
robust_drop_top5pct_follower,like,low_cost,suspense_z,视觉悬念,1.0709927330802,0.0685860062700433,0.03778079817663876,1.8153667889539857,0.06946756130824769,+,7.099273308020004,3158,drop_top5pct_follower
robust_drop_top5pct_follower,like,low_cost,info_gap_z,信息缺口,0.9464878397747463,-0.05499715598555306,0.04844339390733647,-1.1352870133490804,0.25625508171524913,,-5.3512160225253735,3158,drop_top5pct_follower
